2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500
2763, 2578, 2178, 2297, 2877, 2531, 2537, 2443, 2238, 3158, 2482, 2506, 2437, 2567, 2680
2479, 2593, 1900, 2228, 2982, 2582, 2514, 2354, 2330, 3699, 2505, 2494, 2651, 2637, 3103
2521, 2577, 1797, 2282, 3342, 2279, 2708, 2252, 2256, 4023, 2552, 2526, 2693, 2782, 3192
2486, 2438, 1836, 2263, 3467, 2177, 2890, 2336, 2420, 4167, 2440, 2561, 2762, 2915, 3473
2654, 2263, 1632, 2292, 3523, 2288, 2882, 2538, 2438, 4534, 2573, 2541, 2678, 2960, 3757
2894, 2444, 1320, 2291, 3791, 2434, 2807, 2626, 2476, 4668, 2742, 2626, 2476, 3059, 3770
2833, 2606, 1268, 2121, 4060, 2476, 2792, 2737, 2652, 4863, 2697, 2555, 2576, 3088, 3883
2701, 2739, 1075, 2083, 4372, 2674, 2744, 2869, 2687, 4980, 2756, 2688, 2575, 3026, 4103
2638, 2950, 1139, 2000, 4619, 2646, 2734, 3104, 2654, 5000, 2621, 2760, 2628, 2984, 4256
2618, 3149, 982, 2136, 4730, 2674, 2793, 3164, 2683, 4957, 2693, 2721, 2605, 3056, 4369
2619, 3382, 986, 2123, 4714, 2604, 2847, 3102, 2637, 5000, 2727, 2889, 2830, 2675, 4526
2797, 3221, 862, 2206, 4883, 2539, 2978, 3082, 2698, 4999, 2758, 2969, 2726, 2687, 4754
2859, 3193, 995, 2191, 4873, 2542, 3093, 3114, 2531, 4973, 2906, 2769, 2930, 2655, 4726
2830, 3056, 979, 2351, 4992, 2750, 3255, 3380, 2550, 5000, 2896, 2516, 2735, 2713, 4808
2929, 2914, 928, 2128, 4987, 2823, 3311, 3233, 2542, 4959, 2835, 2636, 2870, 2926, 4914
3093, 2994, 1020, 1997, 4927, 2674, 3224, 3250, 2652, 5000, 2901, 2559, 2963, 2818, 4989
3177, 2891, 1133, 2423, 4559, 3021, 3119, 3227, 2688, 5000, 2830, 2613, 2880, 2811, 4819
3174, 2876, 1155, 2471, 4670, 3063, 3242, 2935, 2762, 5000, 2737, 2707, 2883, 2872, 4852
3241, 2970, 1140, 2743, 4832, 2952, 3007, 2884, 2846, 4988, 2965, 2704, 2991, 2754, 4688
3240, 3038, 1245, 2906, 4885, 2590, 2824, 2816, 2999, 5000, 2991, 2894, 3154, 2869, 4633
3165, 3225, 1117, 3022, 4871, 2729, 2729, 2790, 3026, 5000, 2808, 2802, 3434, 2951, 4685
3056, 2863, 1099, 3075, 4996, 2818, 2686, 2859, 3166, 5000, 2877, 2761, 3584, 3211, 4752
2935, 3000, 1000, 3193, 4942, 2823, 2692, 2945, 3171, 4961, 2961, 2734, 3645, 3302, 4868
3154, 3031, 973, 3265, 4981, 2721, 2618, 2873, 3213, 4991, 2862, 2703, 3731, 3353, 5000
2947, 3183, 1044, 3163, 4939, 3098, 2904, 2758, 3271, 5000, 2823, 2830, 3514, 3267, 4955
3000, 3336, 954, 3235, 4805, 2984, 3130, 2923, 3181, 5000, 2905, 2988, 3255, 3214, 4974
3017, 3320, 960, 3404, 4840, 2990, 3178, 2881, 3313, 5000, 3012, 2896, 3107, 3177, 4825
3112, 3019, 932, 3444, 4892, 2907, 3230, 2936, 3403, 5000, 3054, 3031, 3090, 3346, 4891
3211, 3040, 866, 3686, 5000, 2817, 3276, 2981, 3437, 5000, 3052, 3093, 2879, 3330, 5000
3120, 2979, 926, 3487, 5000, 2973, 3238, 2844, 3168, 5000, 3041, 3022, 3178, 3412, 4983
3335, 2836, 979, 3481, 4939, 3012, 3371, 3021, 3085, 4979, 2801, 2956, 3306, 3543, 4912
3409, 3022, 908, 3543, 4977, 2875, 3184, 3160, 3056, 4954, 3007, 3023, 3304, 3504, 4974
3246, 3083, 854, 3446, 4959, 2829, 3565, 3215, 3083, 4981, 3158, 3204, 3198, 3401, 4957
3282, 3103, 903, 3309, 4959, 3019, 3414, 3307, 3193, 4978, 3174, 3199, 3221, 3201, 4950
3194, 2930, 983, 3145, 4964, 3152, 3246, 3249, 3418, 5000, 3466, 3289, 3044, 3254, 4917
3060, 3105, 1084, 3165, 4938, 3159, 3345, 3322, 3404, 5000, 3472, 3313, 2868, 3319, 4856
3191, 3027, 1256, 3172, 4971, 3359, 3285, 3142, 3308, 5000, 3346, 3228, 2956, 3232, 5000
3152, 3140, 1244, 3206, 4973, 3108, 3283, 3205, 3491, 5000, 3400, 3376, 2930, 3025, 5000
3312, 3108, 1075, 3162, 5000, 3300, 3309, 3216, 3462, 5000, 3373, 3299, 2879, 3096, 4977
3509, 3265, 1204, 3258, 4861, 3269, 3300, 2963, 3562, 5000, 3360, 3276, 3116, 3110, 4817
